127.0.0.1 - - [25/Apr/2023:12:59:29 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [25/Apr/2023:12:59:30 +0530] "GET /project_3/ HTTP/1.1" 200 777
0:0:0:0:0:0:0:1 - - [25/Apr/2023:12:59:30 +0530] "GET /project_3/img/custom.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Apr/2023:12:59:30 +0530] "GET /project_3/img/af.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Apr/2023:12:59:30 +0530] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [25/Apr/2023:13:00:42 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3824
0:0:0:0:0:0:0:1 - - [25/Apr/2023:13:00:42 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [25/Apr/2023:13:00:42 +0530] "GET /project_3/img/welcome2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Apr/2023:13:06:00 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7205
0:0:0:0:0:0:0:1 - - [25/Apr/2023:13:56:11 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Apr/2023:13:56:11 +0530] "GET /project_3/UserRegistrationCtl HTTP/1.1" 200 11928
0:0:0:0:0:0:0:1 - - [25/Apr/2023:13:56:11 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [25/Apr/2023:13:56:11 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [25/Apr/2023:14:13:13 +0530] "POST /project_3/UserRegistrationCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Apr/2023:14:13:13 +0530] "GET /project_3/UserRegistrationCtl HTTP/1.1" 200 11928
0:0:0:0:0:0:0:1 - - [25/Apr/2023:14:13:13 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [25/Apr/2023:14:13:13 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [25/Apr/2023:14:13:23 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7205
0:0:0:0:0:0:0:1 - - [25/Apr/2023:14:13:28 +0530] "GET /project_3/ForgetPasswordCtl HTTP/1.1" 200 5701
0:0:0:0:0:0:0:1 - - [25/Apr/2023:14:13:28 +0530] "GET /project_3/img/email.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Apr/2023:14:33:34 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7205
0:0:0:0:0:0:0:1 - - [25/Apr/2023:14:34:11 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Apr/2023:14:34:11 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Apr/2023:14:34:11 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Apr/2023:14:34:11 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9910
0:0:0:0:0:0:0:1 - - [25/Apr/2023:14:34:11 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [25/Apr/2023:14:36:29 +0530] "GET /project_3/ctl/MarksheetListCtl HTTP/1.1" 200 14711
0:0:0:0:0:0:0:1 - - [25/Apr/2023:14:36:29 +0530] "GET /project_3/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Apr/2023:14:36:29 +0530] "GET /project_3/js/CheckBox11.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Apr/2023:14:36:29 +0530] "GET /project_3/img/an.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Apr/2023:15:32:36 +0530] "POST /project_3/ctl/MarksheetListCtl HTTP/1.1" 200 7457
0:0:0:0:0:0:0:1 - - [25/Apr/2023:15:32:53 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7205
0:0:0:0:0:0:0:1 - - [25/Apr/2023:15:33:08 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Apr/2023:15:33:08 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9910
0:0:0:0:0:0:0:1 - - [25/Apr/2023:15:33:08 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [25/Apr/2023:15:33:18 +0530] "GET /project_3/ctl/MarksheetListCtl HTTP/1.1" 200 14711
